::1 - - [28/Nov/2022:16:42:33 +0000] "GET /api-users/getUserByEmail?email=dovancuongadhp@gmail.com HTTP/1.1" 200 234
::1 - - [28/Nov/2022:16:45:35 +0000] "OPTIONS /api-users/getAllUsers HTTP/1.1" 204 0
::1 - - [28/Nov/2022:16:45:35 +0000] "OPTIONS /api-users/getAllUsers HTTP/1.1" 204 0
::1 - - [28/Nov/2022:16:45:35 +0000] "GET /api-users/getAllUsers HTTP/1.1" 304 -
::1 - - [28/Nov/2022:16:45:35 +0000] "GET /api-users/getAllUsers HTTP/1.1" 304 -
::1 - - [28/Nov/2022:16:45:42 +0000] "OPTIONS /api-users/getAllUsers HTTP/1.1" 204 0
::1 - - [28/Nov/2022:16:45:42 +0000] "OPTIONS /api-users/getAllUsers HTTP/1.1" 204 0
::1 - - [28/Nov/2022:16:45:42 +0000] "GET /api-users/getAllUsers HTTP/1.1" 403 9
::1 - - [28/Nov/2022:16:45:42 +0000] "GET /api-users/getAllUsers HTTP/1.1" 403 9
::1 - - [28/Nov/2022:16:45:48 +0000] "OPTIONS /api-users/getAllUsers HTTP/1.1" 204 0
::1 - - [28/Nov/2022:16:45:48 +0000] "OPTIONS /api-users/getAllUsers HTTP/1.1" 204 0
::1 - - [28/Nov/2022:16:45:48 +0000] "GET /api-users/getAllUsers HTTP/1.1" 200 1095
::1 - - [28/Nov/2022:16:45:48 +0000] "GET /api-users/getAllUsers HTTP/1.1" 304 -
::1 - - [28/Nov/2022:16:46:43 +0000] "OPTIONS /api-users/getAllUsers HTTP/1.1" 204 0
::1 - - [28/Nov/2022:16:46:43 +0000] "OPTIONS /api-users/getAllUsers HTTP/1.1" 204 0
::1 - - [28/Nov/2022:16:46:43 +0000] "GET /api-users/getAllUsers HTTP/1.1" 304 -
::1 - - [28/Nov/2022:16:46:43 +0000] "GET /api-users/getAllUsers HTTP/1.1" 304 -
::1 - - [28/Nov/2022:16:46:49 +0000] "OPTIONS /api-users/getAllUsers HTTP/1.1" 204 0
::1 - - [28/Nov/2022:16:46:49 +0000] "OPTIONS /api-users/getAllUsers HTTP/1.1" 204 0
::1 - - [28/Nov/2022:16:46:49 +0000] "GET /api-users/getAllUsers HTTP/1.1" 403 9
::1 - - [28/Nov/2022:16:46:49 +0000] "GET /api-users/getAllUsers HTTP/1.1" 403 9
::1 - - [28/Nov/2022:16:47:54 +0000] "OPTIONS /api-users/getAllUsers HTTP/1.1" 204 0
::1 - - [28/Nov/2022:16:47:54 +0000] "OPTIONS /api-users/getAllUsers HTTP/1.1" 204 0
::1 - - [28/Nov/2022:16:47:54 +0000] "GET /api-users/getAllUsers HTTP/1.1" 403 9
::1 - - [28/Nov/2022:16:47:54 +0000] "GET /api-users/getAllUsers HTTP/1.1" 403 9
::1 - - [28/Nov/2022:16:47:57 +0000] "GET /api-users/getAllUsers HTTP/1.1" 403 9
::1 - - [28/Nov/2022:16:47:57 +0000] "GET /api-users/getAllUsers HTTP/1.1" 403 9
